id,account_id,posted_on,payee,category,amount,memo,deleted_at,created_at
1,4,2026-06-01,Acme Corp,salary,4200.0,June retainer,,2026-06-01 09:00:00
2,1,2026-06-02,Harbor Realty,rent,-1850.0,Studio rent June,,2026-06-02 08:30:00
3,1,2026-06-03,Green Market,groceries,-86.4,,,2026-06-03 18:12:00
4,3,2026-06-04,Blue Bottle Coffee,dining,-14.5,Client meeting,,2026-06-04 10:05:00
5,1,2026-06-05,City Utilities,utilities,-132.75,Power + water,,2026-06-05 07:45:00
6,3,2026-06-06,Nimbus Cloud,office,-49.0,Hosting invoice,,2026-06-06 11:00:00
7,4,2026-06-09,Globex Ltd,salary,1500.0,Landing page sprint,,2026-06-09 09:20:00
8,1,2026-06-10,Green Market,groceries,-64.1,,,2026-06-10 17:40:00
9,3,2026-06-11,Rail Express,travel,-210.0,Client visit,,2026-06-11 06:55:00
10,1,2026-06-12,Chase Bank,fees,-12.0,Wire fee,,2026-06-12 12:00:00
11,2,2026-06-13,Everyday Checking,transfer,600.0,Monthly savings sweep,,2026-06-13 09:00:00
12,1,2026-06-13,Rainy Day Savings,transfer,-600.0,Monthly savings sweep,,2026-06-13 09:00:00
13,3,2026-06-16,Blue Bottle Coffee,dining,-9.75,,,2026-06-16 10:10:00
14,1,2026-06-17,Green Market,groceries,-91.3,,,2026-06-17 18:25:00
15,3,2026-06-18,Paper & Ink,office,-37.6,Notebooks,,2026-06-18 14:00:00
16,4,2026-06-20,Acme Corp,salary,800.0,Change order,,2026-06-20 09:30:00
17,1,2026-06-23,City Utilities,utilities,-58.2,Internet,,2026-06-23 07:50:00
18,3,2026-06-24,Sky Bistro,dining,-72.9,Team lunch,2026-06-25 09:00:00,2026-06-24 13:10:00
19,1,2026-06-25,Green Market,groceries,-45.05,,,2026-06-25 17:55:00
20,3,2026-06-26,Rail Express,travel,-95.0,Refunded ticket,2026-06-27 08:15:00,2026-06-26 07:00:00
21,4,2026-06-27,Globex Ltd,salary,1500.0,Sprint two,,2026-06-27 09:15:00
22,1,2026-06-30,Harbor Realty,rent,-1850.0,Studio rent July,,2026-06-30 08:30:00
23,3,2026-07-01,Nimbus Cloud,office,-49.0,Hosting invoice,,2026-07-01 11:00:00
24,1,2026-07-02,Green Market,groceries,-77.85,,,2026-07-02 18:05:00
25,3,2026-07-03,Blue Bottle Coffee,dining,-18.25,,,2026-07-03 09:50:00
26,1,2026-07-07,City Utilities,utilities,-129.4,Power + water,,2026-07-07 07:45:00
27,4,2026-07-08,Acme Corp,salary,4200.0,July retainer,,2026-07-08 09:00:00
28,3,2026-07-09,Paper & Ink,office,-22.1,,,2026-07-09 15:30:00
